organization,occurtime,motivation,introduction,referlink
索伦之眼,2011,信息窃取与间谍活动,索伦之眼为2016年赛门铁克披露的一个针对俄罗斯、中国等国家发动高级攻击的APT组织，其主要以窃取敏感信息为主要目的，活动最早可追溯到2010年。国内受影响用户包括科研教育、军事、政府机构、基础设施、水利、海洋等行业领域。专注于收集高价值情报。综合能力不弱于震网、火焰等。,"https://ti.dbappsecurity.com.cn/apt/dd5d4a92-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/70,https://ti.qianxin.com/apt/detail/5acb2b8e596a10001a1a9796?name=%E7%B4%A2%E4%BC%A6%E4%B9%8B%E7%9C%BC&type=map"
奇幻熊,2004,信息窃取与间谍活动,"“奇幻熊”（Fancy Bear，T-APT-12）组织，也被称作APT28, Pawn Storm, Sofacy Group, Sednit或STRONTIUM，是一个长期从事网络间谍活动并与俄罗斯军方情报机构相关的APT组织，从该组织的历史攻击活动可以看出，获取国家利益一直是该组织的主要攻击目的。据国外安全公司报道，该组织最早的攻击活动可以追溯到2004年至2007年期间。","https://ti.dbappsecurity.com.cn/apt/dd516aa1-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/72,https://ti.qianxin.com/apt/detail/5acb2a0a596a10001642885b?name=Energetic%20Bear&type=map"
蓝宝菇,2011,信息窃取与间谍活动,蓝宝菇（BlueMushroom）组织，2018年才被披露，其从2011年开始就针对我国政府、军工、科研、金融、教育等重点单位和部门进行网络间谍活动，比较关注工业和科研领域，攻击对象主要都集中在中国大陆境内。,"https://ti.dbappsecurity.com.cn/apt/49b075b9-3538-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/7,https://ti.qianxin.com/apt/detail/5acb2b6b596a10001a1a9795?name=%E8%93%9D%E5%AE%9D%E8%8F%87&type=map"
APT37,2012,信息窃取与间谍活动,APT37是一个疑似来自朝鲜的网络间谍组织，至少从2012年开始就已经活跃，该组织主要针对韩国，日本，越南，俄罗斯，尼泊尔，中国，印度，罗马尼亚，科威特和中东等国家或地区进行攻击。国内主要目标为外贸公司、在华外企高管，甚至政府部门等。,"https://ti.dbappsecurity.com.cn/apt/dd3abcbf-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/79"
方程式,2001,信息窃取与间谍活动、破坏活动,方程式组织是一个由卡巴斯基实验室于2015年发现并曝光的尖端网络犯罪组织，该组织被称为世界上最尖端的网络攻击组织之一，同震网（Stuxnet）和火焰（Flame）病毒的制造者紧密合作且在幕后操作。方程式组织的名字来源于他们在网络攻击中对使用强大加密方法的偏好。其与美国国家安全局（NSA）存在联系。并且该组织使用的C2地址早在1996年就被注册，暗示了其存在了20年之久。该组织实力雄厚，在漏洞方面具有绝对优势，并且拥有强大的武器库。涉及的行业包括政府和外交机构、电信、航天、能源、核研究、军事、纳米技术、宗教活动家、媒体、运输业、金融行业等。,"https://ti.dbappsecurity.com.cn/apt/dcb07973-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/85,https://ti.qianxin.com/apt/detail/5b399d42596a10000ffcba7a?name=%E6%96%B9%E7%A8%8B%E5%BC%8F&type=map"
魔罗桫,2013,信息窃取与间谍活动,孔夫子（Confucius）是一个印度背景的APT组织，攻击活动最早可追溯到2013年，主要针对南亚各国的政府、军事等行业目标进行攻击。该组织在恶意代码和基础设施上与Patchwork存在重叠，但目标侧重有所不同。,"https://ti.dbappsecurity.com.cn/apt/dc926aa5-307f-11eb-9593-ac1f6b480078/overview,https://ti.qianxin.com/apt/detail/5b5fcaf5596a10000cb9baad?name=%E9%AD%94%E7%BD%97%E6%A1%AB&type=map"
Longhorn,2009,信息窃取与间谍活动,Longhorn，美国中央情报局(CIA)背景，对我国进行的长达十一年的网络攻击渗透，我国航空航天、科研机构、石油行业、大型互联网公司以及政府机构等多个单位均受到影响。其核心武器文件使用了维基解密曝光的美国中央情报局CIA网络情报中心的文件中的“Vault7（穹窿7）”项目。,"https://ti.dbappsecurity.com.cn/apt/dc8322ae-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/12,https://ti.qianxin.com/apt/detail/5b8ca52d596a1000217094e0?name=Longhorn&type=map"
CozyBear,2008,信息窃取与间谍活动,APT29归属于俄罗斯，政府背景，和俄罗斯一个或多个情报机构有关，其收集情报以支持外交和安全政策做决定，至少自2008年开始就已经运作。APT29似乎针对不同的目标项目拥有不同的小组。其目标包括军事、政府、能源、外交、电信等。主要针对西方政府和相关组织，例如政府部门和机构，政治智囊团和政府分包商；还包括独立国家联合体成员国的政府；亚洲、非洲和中东国家的政府；与车臣极端主义有关的组织；以及从事管制药物和毒品非法贸易的俄罗斯发言人等。,"https://ti.dbappsecurity.com.cn/apt/dc4ba040-307f-11eb-9593-ac1f6b480078/overview,https://ti.qianxin.com/apt/detail/5acb295f596a10001a1a9793?name=APT29&type=map"
Turla,1996,信息窃取与间谍活动,Turla是一个总部位于俄罗斯的威胁组织，自2004年以来，已经在45个国家/地区感染了受害者，其中包括政府，大使馆，军队，教育，研究和制药公司等行业。2015年中期，活动增多。 Turla以进行水坑和鱼叉式钓鱼运动以及利用内部工具和恶意软件而闻名。 Turla的间谍平台主要用于Windows机器，但也被用于对抗macOS和Linux机器。,"https://ti.dbappsecurity.com.cn/apt/dd784995-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/81,https://ti.qianxin.com/apt/detail/5acb29d0596a10001a1a9794?name=Turla&type=map"
拍拍熊,2015,信息窃取与间谍活动,拍拍熊是一个中东地区背景，使用阿拉伯语且有政治动机的APT攻击组织，自2015年被发现至今，频繁进行有组织、有计划、针对性的不间断攻击，特别是针对巴勒斯坦、以色列、埃及等中东动乱国家进行攻击。该组织一直很活跃，典型的攻击目标包括政府机构、武装组织领导、媒体人士、政治活动家和外交官等。使用的木马采用了自解压、VB脚本和PowerShell无文件落地等多层技术隐藏木马实现规避杀毒软件查杀，以提高攻击的隐蔽性和持久性。,"https://ti.dbappsecurity.com.cn/apt/dd601f8c-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/28,https://ti.qianxin.com/apt/detail/5c998e5c596a10000da7962f?name=%E6%8B%8D%E6%8B%8D%E7%86%8A&type=map"
黄金鼠,2014,信息窃取与间谍活动,黄金鼠组织长期针对叙利亚等阿拉伯国家进行网络攻击。攻击平台从开始的Windows平台逐渐扩展至Android平台。恶意样本主要伪装成聊天软件及一些特定领域常用软件，通过水坑攻击方式配合社会工程学手段进行渗透，向特定目标人群进行攻击。该组织在攻击过程中使用了大量的资源，说明其资源丰富。并且他们的攻击主要以窃取信息为主的间谍活动。,"https://ti.dbappsecurity.com.cn/apt/dd5fa8e5-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/26,https://ti.qianxin.com/apt/detail/5b239927596a10001bf44927?name=%E9%BB%84%E9%87%91%E9%BC%A0&type=map"
军刀狮,2015,信息窃取与间谍活动,ZooPark是一个网络间谍组织，至少从2015年6月开始就一直对位于中东地区的多个国家的安卓设备用户进行攻击。这些攻击行动似乎是针对该地区政治组织、激进主义者和其他政治和社会机构目标。该组织在过去几年的行动中不断演变，攻击的重点放在埃及、约旦、摩洛哥、黎巴嫩和伊朗的受害者身上。,"https://ti.dbappsecurity.com.cn/apt/dd885c9d-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/30,https://ti.qianxin.com/apt/detail/5cedf7be97868c001688d588?name=%E5%86%9B%E5%88%80%E7%8B%AE&type=map"
OilRig,2014,信息窃取与间谍活动,OilRig组织于2016年首次被Palo Alto Networks威胁情报小组Unit 42发现披露，该组织至少从2014年开始运营。OilRig攻击的组织机构甚多，覆盖行业甚广，涉及政府、媒体、能源、交通、物流、技术服务供应商等。研究人员认为，OilRig组织主要集中在有利于伊朗民族国家利益的侦查工作上，并评估APT34具有伊朗政府背景，其基础设施细节包括提及伊朗、使用伊朗基础设施以及符合民族国家利益的目标。,"https://ti.dbappsecurity.com.cn/apt/dd0796d1-307f-11eb-9593-ac1f6b480078/overview,https://ti.qianxin.com/apt/detail/5b2363f5596a1000192dbca4?name=OilRig&type=map"
MuddyWater,2017,信息窃取与间谍活动,MuddyWater 是伊朗的 APT 组织，主要针对中东地区、欧洲和北美地区，目标主要是政府、电信和石油部门， 具有强烈的政治目的。 该APT组织显著的攻击特点为善于利用Powershell等脚本后门，通过Powershell在内存中执行，可以减少恶意文件落地执行。据悉，该组织自2017年11月被曝光以来，不但没有停止攻击，反而更加积极地改进攻击武器，在土耳其等国家持续活跃。,"https://ti.dbappsecurity.com.cn/apt/dcfd1d86-307f-11eb-9593-ac1f6b480078/overview,https://ti.qianxin.com/apt/detail/5b0d2e66596a10001cde7c79?name=MuddyWater&type=map"
APT35,2013,信息窃取与间谍活动,Magic Hound是一个由伊朗赞助的威胁组织，主要在中东活跃，该组织最早的活动可追溯到2014年。Magic Hound主要针对能源、政府和技术部门的相关机构，这些组织都在沙特阿拉伯有业务基础，或在沙特阿拉伯有商业利益。Magic Hound与Rocket Kitten/Newscaster/NewBeef和ITG18的一些基础设施有重叠。,"https://ti.dbappsecurity.com.cn/apt/dcf6882a-307f-11eb-9593-ac1f6b480078/overview,https://ti.qianxin.com/apt/detail/5b2364f5596a10001e0dd77e?name=APT35&type=map"
APT38,2014,金融犯罪,Bluenoroff是Lazarus组织的分支小组，专门从事金融相关的网络攻击，并负责处理资金转移事项。,"https://ti.dbappsecurity.com.cn/apt/dcee1c13-307f-11eb-9593-ac1f6b480078/overview,https://ti.qianxin.com/apt/detail/5bbc83af596a10001f4b6954?name=APT38&type=map"
Kimsuky,2013,信息窃取与间谍活动,"Kimsuky是位于朝鲜的威胁组织，卡巴斯基实验室的研究人员发现了针对韩国军事智库的大规模网络间谍活动，并引用恶意代码中词语“Kimsuky”对其命名。Kimsuky APT组织作为一个十分活动的APT组织，其针对南韩的活动次数也愈来愈多，同时该组织不断的使用hwp文件,释放诱饵文档可执行文件（scr），恶意宏文档的方式针对Windows目标进行相应的攻击，同时恶意宏文档还用于攻击MacOs目标之中。该组织与有相同背景的Lazarus组织和Konni组织有一定的相似之处。同时该组织的载荷也由之前的PE文件载荷逐渐变为多级脚本载荷，但是其混淆的策略不够成熟，所以其对规避杀软的能力还是较弱。该组织的后门逐渐采取少落地或者不落地的方式，这在一定层面上加大了检测的难度。该组织的攻击目标主要针对韩国政府机构、世宗研究所、韩国外交部门、韩国国防分析研究所（KIDA）、韩国统一部、北朝鲜相关研究领域。在海外情况下，联合国和朝鲜研究人员，朝鲜组织和媒体公司是主要目标，目的是收集与朝鲜有关的信息。由于北韩的经济状况由于持续的制裁而继续恶化，攻击者似乎除了其政治目的外，还攻击金融公司和加密货币组织谋求经济利益。","https://ti.dbappsecurity.com.cn/apt/dcdcb98a-307f-11eb-9593-ac1f6b480078/overview,https://ti.qianxin.com/apt/detail/5b45758d596a10001ffa2d3a?name=Kimsuky&type=map"
FIN7,2013,金融犯罪,FIN7是一个以经济收益为动机的威胁组织，FIN7组织以钓鱼邮件为攻击渠道，主要对美国金融机构渗透攻击。据称已经从世界各地的公司窃取了超过10亿美元。FIN7使用精密的鱼叉式网络钓鱼邮箱，来说服目标对象下载附件，然后透过附件，让其公司网络遭到恶意软件的感染。在FIN7使用的恶意软件中，最常见的是Carbanak恶意软件的特制版本，已在针对银行的多次攻击中使用。,"https://ti.dbappsecurity.com.cn/apt/dcbdccbf-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/68,https://ti.qianxin.com/apt/detail/5acb2a8d596a10000f9e929d?name=FIN7&type=map"
双尾蝎,2011,信息窃取与间谍活动,2016年5月起至今，双尾蝎组织对巴勒斯坦教育机构、军事机构等重要领域展开了有组织、有计划、有针对性的长时间不间断攻击。攻击平台主要包括Windows与Android，攻击范围主要为中东地区。使用的后门程序主要伪装成文档、播放器、聊天软件以及一些特定领域常用软件，通过鱼叉或水坑等攻击方式配合社会工程学手段进行渗透，向特定目标人群进行攻击。,"https://ti.dbappsecurity.com.cn/apt/dc9f47e7-307f-11eb-9593-ac1f6b480078/overview,https://apt.360.net/orgDetail/27,https://ti.qianxin.com/apt/detail/5b2376bf596a1000192dbcd2?name=%E5%8F%8C%E5%B0%BE%E8%9D%8E&type=map"
盲眼鹰,2018,信息窃取与间谍活动,从2018年4月起至今，一个疑似来自南美洲的APT组织盲眼鹰针对哥伦比亚政府机构和大型公司（金融、石油、制造等行业）等重要领域展开了有组织、有计划、针对性的长期不间断攻击。,"https://ti.dbappsecurity.com.cn/apt/dc6a2af6-307f-11eb-9593-ac1f6b480078/,https://apt.360.net/orgDetail/83,https://ti.qianxin.com/apt/detail/5c6b61fc596a100017f5890a?name=%E7%9B%B2%E7%9C%BC%E9%B9%B0&type=map"
APT33,2013,信息窃取与间谍活动、破坏活动,APT33的活动踪迹至少可以追溯至2013年，该组织很可能是为伊朗政府工作。攻击目标主要是总部位于美国、沙特阿拉伯和韩国的重点关注组织，这些组织跨越多个行业，观察APT33以往的活动可知，其尤其关注航空航天（包括军事的和商业）和与石油化工生产有关的能源部门的机构，这表明APT33的目的可能是获取对政府或军事有益的战略情报。APT 33似乎从2017年起就与OilRig，APT 34，Helix Kitten，Chrysene组织密切相关。,"https://ti.dbappsecurity.com.cn/apt/dc56a59f-307f-11eb-9593-ac1f6b480078/overview,https://ti.qianxin.com/apt/detail/5b236123596a10001e0dd77b?name=APT33&type=map"
